"振込日","加盟店番号（V/M）","店舗番号（AKR）","店舗名","取引年月日","決済ブランド","決済ブランド（カード番号下４桁）","支払区分","金額（円）","税区分","備考"
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","PayPay","","一括","1000","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","PayPay","","一括","1100","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","QUICPay","7***","","650","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","American Express","4009","一括","18007","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","Visa","1042","一括","30503","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","Visa","9375","一括","34617","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","JCB","1028","一括","13200","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","Visa","1888","一括","14542","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","Visa","6310","一括","4774","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","Mastercard(R)","2033","一括","13200","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","Visa","0109","一括","13200","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","JCB","2088","一括","6314","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","Mastercard(R)","1644","一括","13200","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","Visa","0479","一括","8910","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","Visa","1218","一括","500","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","Visa","6637","一括","650","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-10","Mastercard(R)","9685","一括","650","非課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","PayPay","","一括","37928","課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","PayPay","","一括","15532","課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","PayPay","","一括","20757","課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","PayPay","","一括","10340","課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","PayPay","","一括","500","課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","PayPay","","一括","500","課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","PayPay","","一括","500","課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","PayPay","","一括","500","課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","PayPay","","一括","500","課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","PayPay","","一括","500","課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","QUICPay","9***","","500","非課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","QUICPay","4***","","500","非課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","Visa","3007","一括","74822","非課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","JCB","1048","一括","46002","非課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","Mastercard(R)","7006","一括","13915","非課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","Visa","2420","一括","12012","非課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","JCB","5938","一括","17363","非課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-09","Visa","4174","一括","15664","非課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-08","PayPay","","一括","17314","課税",""
"2025-12-15","045534248095","AKR5061995856","赤坂元気","2025-12-08","PayPay","","一括","21186","課税",""
